division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
middleweight,http://boxrec.com/boxer/348759,2017-09-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Middleweight"" border=""0"" class=""dLink"">WBC World middleweight title</a><br><a href=""http://boxrec.com/title/WBASUP?division=Middleweight"" border=""0"" class=""dLink"">WBA Super World middleweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Middleweight"" border=""0"" class=""dLink"">IBF World middleweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Middleweight"" border=""0"" class=""dLink"">International Boxing Organization World middleweight title</a><br></td>",http://boxrec.com/show/751017,http://boxrec.com/boxer/356831,,"T-Mobile Arena, Las Vegas, Nevada",Gennady Golovkin,Saul Alvarez,
super middleweight,http://boxrec.com/boxer/291908,2017-09-09,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Middleweight"" border=""0"" class=""dLink"">vacant WBC World super middleweight title</a><br></td>",http://boxrec.com/show/751742,http://boxrec.com/boxer/631178,,"Los Angeles, California",Callum Smith,Anthony Dirrell,
super featherweight,http://boxrec.com/boxer/202465,2017-07-15,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Featherweight"" border=""0"" class=""dLink"">WBC World super featherweight title</a><br></td>",http://boxrec.com/show/751515,http://boxrec.com/boxer/553222,,"Forum, Inglewood, California",Miguel Berchelt,Takashi Miura,
light heavyweight,http://boxrec.com/boxer/358969,2017-06-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBC World light heavyweight title</a><br><span style=""font-size:10px;"">Fonfara down once in Round 1.</span></td>",http://boxrec.com/show/749381,http://boxrec.com/boxer/372003,TKO,"Bell Centre, Montreal, Quebec",Adonis Stevenson,Andrzej Fonfara,W
minimumweight,http://boxrec.com/boxer/395556,2017-06-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Minimumweight"" border=""0"" class=""dLink"">WBC World minimumweight title</a><br><span style=""font-size:10px;"">Kimweri deducted a point in Round 1 for an accidental headbutt that caused a cut on Moonsri's left eyelid.</span></td>",http://boxrec.com/show/749954,http://boxrec.com/boxer/383177,UD,"Provincial Stadium, Rayong",Chayaphon Moonsri,Omari Kimweri,W
featherweight,http://boxrec.com/boxer/455293,2017-05-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Featherweight"" border=""0"" class=""dLink"">WBC World featherweight title</a><br><span style=""font-size:10px;"">Escandon down in round three.</span></td>",http://boxrec.com/show/746113,http://boxrec.com/boxer/479775,TKO,"MGM National Harbor, Oxon Hill, Maryland",Gary Russell Jr,Oscar Escandon,W
super lightweight,http://boxrec.com/boxer/502699,2017-05-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBC World super lightweight title</a><br><a href=""http://boxrec.com/title/WBO?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBO World super lightweight title</a><br></td>",http://boxrec.com/show/746195,http://boxrec.com/boxer/447121,RTD,"Madison Square Garden, New York, New York",Terence Crawford,Felix Diaz,W
flyweight,http://boxrec.com/boxer/244507,2017-05-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Flyweight"" border=""0"" class=""dLink"">vacant WBC World flyweight title</a><br></td>",http://boxrec.com/show/749035,http://boxrec.com/boxer/691593,TKO,"Ariake Colosseum, Tokyo",Daigo Higa,Juan Hernandez Navarrete,W
light flyweight,http://boxrec.com/boxer/207282,2017-05-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Flyweight"" border=""0"" class=""dLink"">WBC World light flyweight title</a><br></td>",http://boxrec.com/show/749035,http://boxrec.com/boxer/692967,MD,"Ariake Colosseum, Tokyo",Ken Shiro,Ganigan Lopez,W
super welterweight,http://boxrec.com/boxer/475912,2017-04-22,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Middleweight"" border=""0"" class=""dLink"">WBC World super welterweight title</a><br><span style=""font-size:10px;"">Hatley down in 3rd rd. Count waived.</span></td>",http://boxrec.com/show/747578,http://boxrec.com/boxer/433135,KO,"Barclays Center, Brooklyn, New York",Jermell Charlo,Charles Hatley,W
cruiserweight,http://boxrec.com/boxer/514537,2017-04-01,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Cruiserweight"" border=""0"" class=""dLink"">vacant WBC World cruiserweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Cruiserweight"" border=""0"" class=""dLink"">International Boxing Organization World cruiserweight title</a><br><span style=""font-size:10px;"">IBO title becomes vacant, Briedis did not pay sanction fee.
<br>Huck deducted a point under WBC headbutt rule.</span></td>",http://boxrec.com/show/745403,http://boxrec.com/boxer/280342,UD,"Westfalenhalle, Dortmund, Nordrhein-Westfalen",Marco Huck,Mairis Briedis,L 
middleweight,http://boxrec.com/boxer/432984,2017-03-18,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBASUP?division=Middleweight"" border=""0"" class=""dLink"">WBA Super World middleweight title</a><br><a href=""http://boxrec.com/title/WBC?division=Middleweight"" border=""0"" class=""dLink"">WBC World middleweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Middleweight"" border=""0"" class=""dLink"">IBF World middleweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Middleweight"" border=""0"" class=""dLink"">International Boxing Organization World middleweight title</a><br><span style=""font-size:10px;"">Jacobs down in round four<br>IBF title not on the line for Jacobs who misses IBF's same-day weigh-in</span></td>",http://boxrec.com/show/744074,http://boxrec.com/boxer/356831,UD,"Madison Square Garden, New York, New York",Gennady Golovkin,Daniel Jacobs,W
super flyweight,http://boxrec.com/boxer/528191,2017-03-18,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Flyweight"" border=""0"" class=""dLink"">WBC World super flyweight title</a><br><span style=""font-size:10px;"">Gonzalez down in round one, Wangek lost one point in round six for headbutting</span></td>",http://boxrec.com/show/744074,http://boxrec.com/boxer/319725,MD,"Madison Square Garden, New York, New York",Roman Gonzalez,Wisaksil Wangek,L 
welterweight,http://boxrec.com/boxer/429442,2017-03-04,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Welterweight"" border=""0"" class=""dLink"">WBC World welterweight title</a><br><a href=""http://boxrec.com/title/WBASUP?division=Welterweight"" border=""0"" class=""dLink"">WBA Super World welterweight title</a><br></td>",http://boxrec.com/show/741883,http://boxrec.com/boxer/426053,SD,"Barclays Center, Brooklyn, New York",Keith Thurman,Danny Garcia,W
flyweight,http://boxrec.com/boxer/244507,2017-03-04,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Flyweight"" border=""0"" class=""dLink"">vacant WBC World flyweight title</a><br></td>",http://boxrec.com/show/744200,http://boxrec.com/boxer/556870,TKO,"National Stadium Gymnasium, Bangkok",Nawaphon Kaikanha,Juan Hernandez Navarrete,L 
bantamweight,http://boxrec.com/boxer/573732,2017-03-02,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Bantamweight"" border=""0"" class=""dLink"">WBC World bantamweight title</a><br></td>",http://boxrec.com/show/745684,http://boxrec.com/boxer/344846,TKO,"Kokugikan, Tokyo",Shinsuke Yamanaka,Carlos Carlson,W
heavyweight,http://boxrec.com/boxer/621653,2017-02-25,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br><span style=""font-size:10px;"">Washington down in round five</span></td>",http://boxrec.com/show/744199,http://boxrec.com/boxer/468841,TKO,"Legacy Arena, Birmingham, Alabama",Deontay Wilder,Gerald Washington,W
super bantamweight,http://boxrec.com/boxer/542148,2017-02-25,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Bantamweight"" border=""0"" class=""dLink"">vacant WBC World super bantamweight title</a><br></td>",http://boxrec.com/show/744689,http://boxrec.com/boxer/551317,MD,"Ice Arena, Hull, Yorkshire",Gavin McDonnell,Rey Vargas,L 
lightweight,http://boxrec.com/boxer/364679,2017-01-28,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Lightweight"" border=""0"" class=""dLink"">WBC World lightweight title</a><br></td>",http://boxrec.com/show/741679,http://boxrec.com/boxer/451354,KO,"MGM Grand, Las Vegas, Nevada",Dejan Zlaticanin,Mikey Garcia,L 
super featherweight,http://boxrec.com/boxer/553222,2017-01-28,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Featherweight"" border=""0"" class=""dLink"">WBC World super featherweight title</a><br><span style=""font-size:10px;"">Vargas cut on bridge of nose rd 3 from a legal punch, cut right eye from legal punch rd 4, and cut left eye from accidental headbutt rd 4.  Stopped standing - California rules: KO.</span></td>",http://boxrec.com/show/743417,http://boxrec.com/boxer/528954,KO,"Fantasy Springs Casino, Indio, California",Francisco Vargas,Miguel Berchelt,L 
minimumweight,http://boxrec.com/boxer/696222,2017-01-25,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Minimumweight"" border=""0"" class=""dLink"">WBC World minimumweight title</a><br><span style=""font-size:10px;"">Moonsri: AKA Wanheng Menayothin/Kaiyanghadaogym.<br>Jerusalem deducted a point in Round 8 for a low blow.</span></td>",http://boxrec.com/show/744925,http://boxrec.com/boxer/383177,UD,"Phitsanulok Provincial Ground, Phitsanulok",Chayaphon Moonsri,Melvin Jerusalem,W
super middleweight,http://boxrec.com/boxer/497268,2017-01-14,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Middleweight"" border=""0"" class=""dLink"">WBC World super middleweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Super%20Middleweight"" border=""0"" class=""dLink"">IBF World super middleweight title</a><br><span style=""font-size:10px;"">Jack down in rd. 1 and DeGale down in rd. 12</span></td>",http://boxrec.com/show/741881,http://boxrec.com/boxer/482498,MD,"Barclays Center, Brooklyn, New York",James DeGale,Badou Jack,D
super lightweight,http://boxrec.com/boxer/355640,2016-12-10,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBC World super lightweight title</a><br><a href=""http://boxrec.com/title/WBO?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBO World super lightweight title</a><br></td>",http://boxrec.com/show/741685,http://boxrec.com/boxer/447121,TKO,"CenturyLink Center, Omaha, Nebraska",Terence Crawford,John Molina Jr,W
cruiserweight,http://boxrec.com/boxer/188315,2016-10-15,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Cruiserweight"" border=""0"" class=""dLink"">WBC World cruiserweight title</a><br><span style=""font-size:10px;"">Flores down three times in the 2nd round and once in the 3rd.</span></td>",http://boxrec.com/show/737586,http://boxrec.com/boxer/425328,TKO,"Echo Arena, Liverpool, Merseyside",Tony Bellew,BJ Flores,W
bantamweight,http://boxrec.com/boxer/97557,2016-09-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Bantamweight"" border=""0"" class=""dLink"">WBC World bantamweight title</a><br><span style=""font-size:10px;"">Moreno down once in 1st, 6th and twice in 7th. Yamanaka down once in 4th.</span></td>",http://boxrec.com/show/736610,http://boxrec.com/boxer/344846,TKO,"EDION Arena Osaka, Osaka, Osaka",Shinsuke Yamanaka,Anselmo Moreno,W
super bantamweight,http://boxrec.com/boxer/380401,2016-09-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Bantamweight"" border=""0"" class=""dLink"">WBC World super bantamweight title</a><br></td>",http://boxrec.com/show/736610,http://boxrec.com/boxer/105935,RTD,"EDION Arena Osaka, Osaka, Osaka",Hozumi Hasegawa,Hugo Ruiz,W
middleweight,http://boxrec.com/boxer/272717,2016-09-10,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Middleweight"" border=""0"" class=""dLink"">WBC World middleweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Middleweight"" border=""0"" class=""dLink"">IBF World middleweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Middleweight"" border=""0"" class=""dLink"">International Boxing Organization World middleweight title</a><br><span style=""font-size:10px;"">Fight stopped after Brook's corner threw in the towel<br>Brook sustained a fractured right eye socket.</span></td>",http://boxrec.com/show/736736,http://boxrec.com/boxer/356831,TKO,"O2 Arena (Millenium Dome), Greenwich, London",Gennady Golovkin,Kell Brook,W
super flyweight,http://boxrec.com/boxer/319725,2016-09-10,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Flyweight"" border=""0"" class=""dLink"">WBC World super flyweight title</a><br><span style=""font-size:10px;"">Gonzalez cut over right eye rd 6 &amp; under right eye rd 9 - both from punches.  Cuadras cut corner of right eye from accidental headbutt rd 8.</span></td>",http://boxrec.com/show/736992,http://boxrec.com/boxer/453289,UD,"Forum, Inglewood, California",Carlos Cuadras,Roman Gonzalez,L 
minimumweight,http://boxrec.com/boxer/530519,2016-08-02,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Minimumweight"" border=""0"" class=""dLink"">WBC World minimumweight title</a><br></td>",http://boxrec.com/show/734953,http://boxrec.com/boxer/383177,UD,"City Hall Ground, Chonburi",Chayaphon Moonsri,Saul Juarez,W
light heavyweight,http://boxrec.com/boxer/551332,2016-07-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBC World light heavyweight title</a><br><span style=""font-size:10px;"">Williams down in rounds one and four</span></td>",http://boxrec.com/show/734325,http://boxrec.com/boxer/372003,KO,"Centre Videotron, Quebec City, Quebec",Adonis Stevenson,Thomas Williams Jr,W
super lightweight,http://boxrec.com/boxer/432621,2016-07-23,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBC World super lightweight title</a><br><a href=""http://boxrec.com/title/WBO?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBO World super lightweight title</a><br><span style=""font-size:10px;"">Postol down twice in round five and lost one point in round eleven for hitting behind the head</span></td>",http://boxrec.com/show/730066,http://boxrec.com/boxer/447121,UD,"MGM Grand, Las Vegas, Nevada",Terence Crawford,Viktor Postol,W
heavyweight,http://boxrec.com/boxer/212248,2016-07-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br><span style=""font-size:10px;"">Arreola down in round four</span></td>",http://boxrec.com/show/734890,http://boxrec.com/boxer/468841,RTD,"Legacy Arena, Birmingham, Alabama",Deontay Wilder,Chris Arreola,W
light flyweight,http://boxrec.com/boxer/387011,2016-07-02,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Flyweight"" border=""0"" class=""dLink"">WBC World light flyweight title</a><br><span style=""font-size:10px;"">Taconing deducted one point in eighth round under WBC ""accidental butt"" rule when Lopez cut over right eye from clash of heads.</span></td>",http://boxrec.com/show/734519,http://boxrec.com/boxer/207282,UD,"Arena Coliseo, Mexico City, Distrito Federal",Ganigan Lopez,Jonathan Taconing,W
lightweight,http://boxrec.com/boxer/515180,2016-06-11,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Lightweight"" border=""0"" class=""dLink"">vacant WBC World lightweight title</a><br><span style=""font-size:10px;"">Mamani down in rd 3</span></td>",http://boxrec.com/show/729865,http://boxrec.com/boxer/451354,TKO,"Turning Stone Resort & Casino, Verona, New York",Dejan Zlaticanin,Franklin Mamani,W
super featherweight,http://boxrec.com/boxer/43998,2016-06-04,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Featherweight"" border=""0"" class=""dLink"">WBC World super featherweight title</a><br></td>",http://boxrec.com/show/729471,http://boxrec.com/boxer/528954,MD,"StubHub Center, Carson, California",Francisco Vargas,Orlando Salido,D
cruiserweight,http://boxrec.com/boxer/457720,2016-05-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Cruiserweight"" border=""0"" class=""dLink"">vacant WBC World cruiserweight title</a><br><span style=""font-size:10px;"">Bellew down in the 1st round from a left hook, Makabu down in the 3rd.</span></td>",http://boxrec.com/show/732066,http://boxrec.com/boxer/425328,TKO,"Goodison Park Stadium, Liverpool, Merseyside",Tony Bellew,Ilunga Makabu,W
super welterweight,http://boxrec.com/boxer/483147,2016-05-21,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Middleweight"" border=""0"" class=""dLink"">vacant WBC World super welterweight title</a><br><span style=""font-size:10px;"">Count waived</span></td>",http://boxrec.com/show/730840,http://boxrec.com/boxer/433135,KO,"The Cosmopolitan of Las Vegas, Chelsea Ballroom, Las Vegas, Nevada",Jermell Charlo,John Jackson,W
middleweight,http://boxrec.com/boxer/314558,2016-05-07,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Middleweight"" border=""0"" class=""dLink"">WBC World middleweight title</a><br></td>",http://boxrec.com/show/726555,http://boxrec.com/boxer/348759,KO,"T-Mobile Arena, Las Vegas, Nevada",Saul Alvarez,Amir Khan,W
super middleweight,http://boxrec.com/boxer/223046,2016-04-30,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Middleweight"" border=""0"" class=""dLink"">WBC World super middleweight title</a><br><span style=""font-size:10px;"">Lucian Bute failed doping test. The WBC said  that the D.C. commission revealed it found the banned substance Ostarine. The DC commission changed the result from a draw to a disqualification loss for Bute.</span></td>",http://boxrec.com/show/730850,http://boxrec.com/boxer/497268,DQ,"Armory, Washington, District of Columbia",Badou Jack,Lucian Bute,W
middleweight,http://boxrec.com/boxer/488033,2016-04-23,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBASUP?division=Middleweight"" border=""0"" class=""dLink"">WBA Super World middleweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Middleweight"" border=""0"" class=""dLink"">IBF World middleweight title</a><br><a href=""http://boxrec.com/title/WBC?division=Middleweight"" border=""0"" class=""dLink"">interim WBC World middleweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Middleweight"" border=""0"" class=""dLink"">International Boxing Organization World middleweight title</a><br><span style=""font-size:10px;"">Wade down once in rd 1 &amp; twice in rd 2</span></td>",http://boxrec.com/show/726453,http://boxrec.com/boxer/356831,KO,"Forum, Inglewood, California",Gennady Golovkin,Dominic Wade,W
flyweight,http://boxrec.com/boxer/526601,2016-04-23,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Flyweight"" border=""0"" class=""dLink"">WBC World flyweight title</a><br></td>",http://boxrec.com/show/726453,http://boxrec.com/boxer/319725,UD,"Forum, Inglewood, California",Roman Gonzalez,McWilliams Arroyo,W
super flyweight,http://boxrec.com/boxer/335594,2016-04-23,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Flyweight"" border=""0"" class=""dLink"">WBC World super flyweight title</a><br></td>",http://boxrec.com/show/729845,http://boxrec.com/boxer/453289,RTD,"Centro de Usos Multiples, Los Mochis, Sinaloa",Carlos Cuadras,Richie Mepranum,W
featherweight,http://boxrec.com/boxer/273793,2016-04-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Featherweight"" border=""0"" class=""dLink"">WBC World featherweight title</a><br><span style=""font-size:10px;"">Hyland down three times in round two</span></td>",http://boxrec.com/show/729446,http://boxrec.com/boxer/479775,TKO,"Foxwoods Resort, Mashantucket, Connecticut",Gary Russell Jr,Patrick Hyland,W
featherweight,http://boxrec.com/boxer/107320,2016-03-05,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Featherweight"" border=""0"" class=""dLink"">interim WBC World featherweight title</a><br><span style=""font-size:10px;"">Escandon down in round two, Castellanos down in round seven</span></td>",http://boxrec.com/show/727124,http://boxrec.com/boxer/455293,KO,"DC Armory, Washington, District of Columbia",Oscar Escandon,Robinson Castellanos,W
bantamweight,http://boxrec.com/boxer/121227,2016-03-04,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Bantamweight"" border=""0"" class=""dLink"">WBC World bantamweight title</a><br><span style=""font-size:10px;"">Solis down once in 2nd and 9th. Yamanaka down twice in 3rd.</span></td>",http://boxrec.com/show/727089,http://boxrec.com/boxer/344846,UD,"Shimazu Arena, Kyoto, Kyoto",Shinsuke Yamanaka,Liborio Solis,W
light flyweight,http://boxrec.com/boxer/373759,2016-03-04,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Flyweight"" border=""0"" class=""dLink"">WBC World light flyweight title</a><br></td>",http://boxrec.com/show/727089,http://boxrec.com/boxer/207282,MD,"Shimazu Arena, Kyoto, Kyoto",Ganigan Lopez,Yu Kimura,W
minimumweight,http://boxrec.com/boxer/348267,2016-03-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Minimumweight"" border=""0"" class=""dLink"">WBC World minimumweight title</a><br><span style=""font-size:10px;"">Odaira down once in Round 3 and Round 5.</span></td>",http://boxrec.com/show/728132,http://boxrec.com/boxer/383177,TKO,"City Hall Ground, Nakhon Ratchasima",Chayaphon Moonsri,Go Odaira,W
super bantamweight,http://boxrec.com/boxer/380401,2016-02-27,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Bantamweight"" border=""0"" class=""dLink"">WBC World super bantamweight title</a><br><span style=""font-size:10px;"">Ceja down in rd 1. Ceja stopped standing.</span></td>",http://boxrec.com/show/723543,http://boxrec.com/boxer/504563,TKO,"Honda Center, Anaheim, California",Julio Ceja,Hugo Ruiz,L 
welterweight,http://boxrec.com/boxer/67437,2016-01-23,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Welterweight"" border=""0"" class=""dLink"">vacant WBC World welterweight title</a><br></td>",http://boxrec.com/show/724530,http://boxrec.com/boxer/429442,UD,"Staples Center, Los Angeles, California",Danny Garcia,Robert Guerrero,W
heavyweight,http://boxrec.com/boxer/473857,2016-01-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br></td>",http://boxrec.com/show/723540,http://boxrec.com/boxer/468841,KO,"Barclays Center, Brooklyn, New York",Deontay Wilder,Artur Szpilka,W
super flyweight,http://boxrec.com/boxer/465244,2015-11-28,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Flyweight"" border=""0"" class=""dLink"">WBC World super flyweight title</a><br></td>",http://boxrec.com/show/720947,http://boxrec.com/boxer/453289,UD,"Xebio Arena, Sendai, Miyagi",Carlos Cuadras,Koki Eto,W
light flyweight,http://boxrec.com/boxer/488496,2015-11-28,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Flyweight"" border=""0"" class=""dLink"">WBC World light flyweight title</a><br></td>",http://boxrec.com/show/720947,http://boxrec.com/boxer/373759,SD,"Xebio Arena, Sendai, Miyagi",Yu Kimura,Pedro Guevara,W
minimumweight,http://boxrec.com/boxer/245048,2015-11-24,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Minimumweight"" border=""0"" class=""dLink"">WBC World minimumweight title</a><br><span style=""font-size:10px;"">Bae down once in Round 9.</span></td>",http://boxrec.com/show/720428,http://boxrec.com/boxer/383177,TKO,"City Hall Ground, Chonburi",Chayaphon Moonsri,Young Gil Bae,W
middleweight,http://boxrec.com/boxer/33535,2015-11-21,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Middleweight"" border=""0"" class=""dLink"">vacant WBC World middleweight title</a><br></td>",http://boxrec.com/show/718754,http://boxrec.com/boxer/348759,UD,"Mandalay Bay Hotel & Casino, Events Center, Las Vegas, Nevada",Saul Alvarez,Miguel Cotto,W
super featherweight,http://boxrec.com/boxer/202465,2015-11-21,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Featherweight"" border=""0"" class=""dLink"">WBC World super featherweight title</a><br><span style=""font-size:10px;"">Vargas down in round four, Miura down in round nine</span></td>",http://boxrec.com/show/718754,http://boxrec.com/boxer/528954,TKO,"Mandalay Bay Hotel & Casino, Events Center, Las Vegas, Nevada",Francisco Vargas,Takashi Miura,W
middleweight,http://boxrec.com/boxer/389447,2015-10-17,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Middleweight"" border=""0"" class=""dLink"">IBF World middleweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Middleweight"" border=""0"" class=""dLink"">International Boxing Organization World middleweight title</a><br><a href=""http://boxrec.com/title/WBC?division=Middleweight"" border=""0"" class=""dLink"">interim WBC World middleweight title</a><br><a href=""http://boxrec.com/title/WBASUP?division=Middleweight"" border=""0"" class=""dLink"">WBA Super World middleweight title</a><br><span style=""font-size:10px;"">Lemieux down once in round five</span></td>",http://boxrec.com/show/717853,http://boxrec.com/boxer/356831,TKO,"Madison Square Garden, New York, New York",Gennady Golovkin,David Lemieux,W
flyweight,http://boxrec.com/boxer/43525,2015-10-17,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Flyweight"" border=""0"" class=""dLink"">WBC World flyweight title</a><br><span style=""font-size:10px;"">Viloria down in round three</span></td>",http://boxrec.com/show/717853,http://boxrec.com/boxer/319725,TKO,"Madison Square Garden, New York, New York",Roman Gonzalez,Brian Viloria,W
lightweight,http://boxrec.com/boxer/392125,2015-10-10,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Lightweight"" border=""0"" class=""dLink"">WBC World lightweight title</a><br><span style=""font-size:10px;"">Cano was knocked down in the third and fourth rounds.-</span></td>",http://boxrec.com/show/718812,http://boxrec.com/boxer/157610,KO,"El Poliedro, Caracas",Jorge Linares,Ivan Cano,W
super lightweight,http://boxrec.com/boxer/256942,2015-10-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Welterweight"" border=""0"" class=""dLink"">vacant WBC World super lightweight title</a><br><span style=""font-size:10px;"">Matthysse down &amp; counted out in rd 10</span></td>",http://boxrec.com/show/717530,http://boxrec.com/boxer/432621,KO,"StubHub Center, Carson, California",Viktor Postol,Lucas Martin Matthysse,W
heavyweight,http://boxrec.com/boxer/238766,2015-09-26,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br></td>",http://boxrec.com/show/717006,http://boxrec.com/boxer/468841,TKO,"Legacy Arena, Birmingham, Alabama",Deontay Wilder,Johann Duhaupas,W
